Name,Count
Acanthis flammea,101
Acrocephalus arundinaceus,135
Acrocephalus palustris,120
Acrocephalus schoenobaenus,128
Acrocephalus scirpaceus,163
Actitis hypoleucos,107
Aegithalos caudatus,196
Alauda arvensis,204
Anas platyrhynchos,124
Anthus pratensis,142
Anthus trivialis,158
Ardea cinerea,110
Asio otus,101
Caprimulgus europaeus,140
Carduelis carduelis,208
Carpodacus erythrinus,112
Certhia brachydactyla,182
Certhia familiaris,146
Cettia cetti,251
Chloris chloris,251
Chroicocephalus ridibundus,111
Cisticola juncidis,109
Coccothraustes coccothraustes,152
Coloeus monedula,111
Corvus corax,225
Corvus cornix,112
Corvus corone,116
Crex crex,129
Cuculus canorus,193
Cyanistes caeruleus,425
Dendrocopos major,314
Dendrocoptes medius,110
Dryobates minor,133
Dryocopus martius,239
Elanus caeruleus,152
Emberiza calandra,198
Emberiza cirlus,156
Emberiza citrinella,259
Emberiza hortulana,149
Emberiza schoeniclus,189
Erithacus rubecula,460
Ficedula hypoleuca,159
Ficedula parva,106
Fringilla coelebs,688
Fulica atra,211
Gallinago gallinago,128
Gallinula chloropus,119
Garrulus glandarius,251
Glaucidium passerinum,113
Grus grus,121
Hippolais icterina,130
Hirundo rustica,127
Linaria cannabina,118
Locustella naevia,110
Lophophanes cristatus,146
Loxia curvirostra,254
Lullula arborea,126
Luscinia megarhynchos,231
Luscinia svecica,123
Motacilla alba,170
Motacilla flava,214
Muscicapa striata,132
Numenius arquata,106
Oriolus oriolus,155
Parus major,1024
Passer domesticus,192
Passer montanus,138
Periparus ater,310
Phoenicurus ochruros,118
Phoenicurus phoenicurus,164
Phylloscopus bonelli,126
Phylloscopus collybita,635
Phylloscopus ibericus,101
Phylloscopus inornatus,103
Phylloscopus sibilatrix,156
Phylloscopus trochilus,261
Pica pica,148
Picus viridis,151
Poecile montanus,176
Poecile palustris,189
Prunella modularis,212
Pyrrhula pyrrhula,245
Rallus aquaticus,200
Regulus ignicapilla,175
Regulus regulus,231
Serinus serinus,155
Sitta europaea,287
Spinus spinus,106
Sternula albifrons,109
Strix aluco,218
Sturnus vulgaris,136
Sylvia atricapilla,482
Sylvia borin,189
Sylvia communis,230
Sylvia curruca,157
Sylvia melanocephala,172
Tringa totanus,121
Troglodytes troglodytes,386
Turdus iliacus,214
Turdus merula,520
Turdus philomelos,233
Turdus pilaris,148
Turdus viscivorus,102
